ID	Titolo del documento	Anno	Vol.	Carta-nr	Carta-lett	Quest.	Note	Nome	Categoria	Titolo categoria	Sottocategoria	Titolo sottocategoria
	Intro01_01.tif	1933	I	Intro				Frontespizio verso				
	Intro02_01.tif	1933	I	Intro				Frontespizio recto				
	Intro03_01.tif	1933	I	Intro				Dedica				
	Intro04_01.tif	1933	I	Intro				Indice del volume primo - Pagina 1				
	Intro05_01.tif	1933	I	Intro				Indice del volume primo - Pagina 2				
	0001_01.tif	1933	I	1				*nomi ufficiali dei paesi esplorati.*	La Corsica (fuori lesto)	Nomi locali ed etnici corrispondenti.		
	0002_01.tif	1933	I	2				*il mio paese è....* [nome dialellale del paese nel quale fu falla l'inchiesta]	La Corsica (fuori lesto)	Nomi locali ed etnici corrispondenti.		
	0003_01.tif	1933	I	3				*sono .... *[nome degli abitanti], perché . son nato a .... [nome del paese]	La Corsica (fuori lesto)	Nomi locali ed etnici corrispondenti.		
	0004_01.tif	1933	I	4				*che bell'uomo !* ~ *che begli uomini*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0005_01.tif	1933	I	5				che bella *donna!*~ * che belle *donne!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0006_01.tif	1933	I	6				*mi fa male ....* [tutta la persona]	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0007_01.tif	1933	I	7				*non è piu che* pelle e ossa.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0008_01.tif	1933	I	8				non è più che *pelle e ossa*.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0009_01.tif	1933	I	9				[egli] *non è piu che uno scheletro.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0010_01.tif	1933	I	10				*grattami senza farmi il solletico.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0011_01.tif	1933	I	11				*bisogna tagliargli una vena *e salassarlo.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0012_01.tif	1933	I	12				bisogna tagliargli una vena *e salassarlo.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0013_01.tif	1933	I	13				[egli]ha *il mal di cuore.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0014_01.tif	1933	I	14				[egli] *mi fa andare il sangue alla testa.* [= mi fa andare in collera]	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0015_01.tif	1933	I	15				*mi duole il capo.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0016.01.tif	1933	I	16				[egli] *ha testa*. [= ha talento]	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0017_01.tif	1933	I	17				*ne toccano due* [femm.] *a testa.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0018_01.tif	1933	I	18				[egli] *gli diede un pugno sulla nuca.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0019_01.tif	1933	I	19				*non gli è rimasto che il teschio.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0020_01.tif	1933	I	20				*come sei testardo!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0021_01.tif	1933	I	21				*ho dato una zuccata*  [colpo di testa] *nel muro* [di una stanza]	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0022_01.tif	1933	I	22				[egli] *ha fatto un capitòmbolo*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0023_01.tif	1933	I	23				*mi è venuto il capogiro.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0024_01.tif	1933	I	24				[egli] *non ha cervello*, è ignorante.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0025.01.tif	1933	I	25				[egli] non ha cervello, *è ignorante.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0026.01.tif	1933	I	26				*avevo perduto la memoria.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0027.01.tif	1933	I	27				*sul momento*, non me ne ricordai.	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0028.01.tif	1933	I	28				sul momento, *non me ne ricordai.*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
	0029.01.tif	1933	I	29	a			non lo voglio *sapere!*	I.	L'uomo. Il corpo umano nelle sue parti e nelle sue funzioni. Pregi e difetti fisici e morali.		
